,,,,,,alpha,beta,,
1,100,95.62083503,96.85372856,100,100,98.49491272,98.53230067,98.52676564,98.51799301
10,100,99.30640555,99.8298285,100,100,99.82724681,99.82938048,99.83588208,99.83083646
20,100,99.56480348,99.94390995,100,100,99.90174269,99.90699251,99.90952235,99.90608585
30,100,99.67360261,99.9553181,100,100,99.92578414,99.92831398,99.92907453,99.92772422
40,100,99.70080239,99.95864547,100,100,99.93188957,99.92926466,99.92907453,99.93007625
50,100,99.71440228,99.96292353,100,100,99.93546516,99.93575037,99.93847034,99.93656196
,100,99.71440228,99.96434955,100,100,99.93575037,,,
,100,99.72800218,99.96434955,100,100,99.93847034,,,
,,99.71893558,99.96387421,100,100,,,,
